number,name,area,centroidX,centroidY,error
4030,Nissedal,907514230,129940,6564597,1.9
4032,Fyresdal,1283958714,103362,6578673,3.8
4034,Tokke,987741916,98705,6612925,9.6
4036,Vinje,3116042038,92785,6653906,13.6
4201,Risør,190830889,161771,6526179,111.2
4202,Grimstad,301898985,119509,6488878,118.0
4203,Arendal,268389869,136740,6500291,81.7
4204,Kristiansand,633487596,80484,6471658,273.6
4205,Lindesnes,927317048,56579,6473694,218.4
4206,Farsund,262088730,16169,6473378,116.1
4207,Flekkefjord,545458275,14969,6500319,47.4
4211,Gjerstad,322845498,153248,6543292,2.3
4212,Vegårshei,356449322,143024,6529669,2.0
4213,Tvedestrand,214127035,148409,6515057,124.9
4214,Froland,646381023,117726,6514089,9.5
4215,Lillesand,184164970,106875,6474694,201.8
4216,Birkenes,639331979,103257,6498567,2.0
4217,Åmli,1133773250,115554,6537361,5.7
4218,Iveland,262492589,88473,6498985,1.9
4219,Evje og Hornnes,589142830,79790,6516093,2.0
4220,Bygland,1316491639,77313,6550458,11.4
4221,Valle,1269983350,67870,6582939,5.8
4222,Bykle,1472969605,58407,6614685,6.5
4223,Vennesla,385807915,80550,6487939,2.3
4224,Åseral,891001452,60157,6531582,2.0
4225,Lyngdal,644749209,43095,6483549,34.6
4226,Hægebostad,463294438,45678,6507723,1.0
4227,Kvinesdal,966584420,33402,6513713,22.3
4228,Sirdal,1561513287,30071,6553867,7.4
4601,Bergen,466331126,-28799,6730649,72.5
4602,Kinn,805652479,-10793,6875611,513.3
4611,Etne,739426106,6271,6659164,2.5
4612,Sveio,244362905,-40631,6643940,51.5
4613,Bømlo,230530447,-48862,6664271,318.0
4614,Stord,143188691,-33449,6670314,50.3
4615,Fitjar,139320616,-38968,6679787,454.6
4616,Tysnes,252043930,-26081,6688678,7.9
4617,Kvinnherad,1094406823,2565,6682235,85.3
4618,Ullensvang,3246031011,45544,6690336,29.9
4619,Eidfjord,1503967608,79225,6716842,17.1
4620,Ulvik,725234996,72648,6744778,29.6
4621,Voss,2051754876,34950,6758162,14.8
4622,Kvam,620547308,11594,6727445,17.2
4623,Samnanger,271052969,-6017,6731400,33.5
4624,Bjørnafjorden,517463851,-14352,6711992,175.3
4625,Austevoll,106925678,-45259,6697500,451.2
4626,Øygarden,292202208,-49499,6732658,880.6
4627,Askøy,94349025,-40981,6744566,631.5
4628,Vaksdal,720343245,4687,6761218,49.6
4629,Modalen,414493815,8936,6784486,24.5
4630,Osterøy,256764571,-17144,6748415,15.3
4631,Alver,672785132,-29558,6765432,418.1
4632,Austrheim,51529339,-46418,6780568,1060.0
4633,Fedje,7766460,-58558,6780999,794.2
4634,Masfjorden,557636838,-15270,6785200,103.4
4635,Gulen,588635369,-28231,6798995,962.4
4636,Solund,219940212,-44762,6817585,670.7
4637,Hyllestad,259413191,-22156,6822743,110.8
4638,Høyanger,1010096818,12448,6812222,24.7
4639,Vik,837711459,43789,6794713,25.1
4640,Sogndal,1263242695,60860,6823133,9.3
4641,Aurland,1473677804,79079,6771970,14.5
4642,Lærdal,1346966423,108635,6789060,31.2
4643,Årdal,979463983,115469,6816602,10.1
4644,Luster,2714524064,98973,6846345,14.5
4645,Askvoll,321345327,-23458,6846481,894.0
4646,Fjaler,418253760,-12414,6832022,75.7
4647,Sunnfjord,2218838950,27471,6847423,28.3
4648,Bremanger,835881380,-7430,6890010,138.9
4649,Stad,756360522,16857,6906179,27.4
4650,Gloppen,1035187840,34111,6874631,14.8
4651,Stryn,1387088364,75366,6883933,14.6
5001,Trondheim - Tråante,529247099,271491,7031668,21.9
5006,Steinkjer,2120439370,330610,7107136,15.8
5007,Namsos - Nåavmesjenjaelmie,2126270992,328386,7153266,26.0
5014,Frøya,201741590,188152,7083559,2410.2
5020,Osen,385202057,289153,7134788,209.0
5021,Oppdal,2276685627,219367,6946337,6.4
5022,Rennebu,948733876,239170,6974610,4.6
5025,Rosse - Røros,1956320040,332001,6942737,4.3
5026,Holtålen,1209667662,308983,6974604,2.3
5027,Midtre Gauldal,1861395624,273174,6982542,2.3
5028,Melhus,694712602,261928,7012070,4.3
5029,Skaun,224503201,250927,7024801,6.0
5031,Malvik,168887306,287966,7034099,29.7
5032,Selbu,1235021373,305766,7013749,4.4
5033,Tydal,1328493890,338403,6990481,2.2
5034,Meråker,1273668774,341775,7034505,2.2
5035,Stjørdal,939186037,311268,7042961,41.3
5036,Frosta,76823293,291354,7060017,80.5
5037,Levanger,645450707,315261,7064330,26.9
5038,Verdal,1547331040,352849,7076655,1.0
5041,Snåase - Snåsa,2341555005,384836,7121970,2.4
5042,Lierne,2959558175,433772,7138695,2.9
5043,Raarvihke - Røyrvik,1583654371,435478,7198124,1.9
5044,Namsskogan,1416400913,405675,7194879,2.0
5045,Grong,1135591452,384268,7156529,4.9
5046,Høylandet,754300641,374166,7182481,2.9
5047,Overhalla,729840389,351084,7151433,1.0
5049,Flatanger,452822466,301226,7151130,257.1
5052,Leka,105599959,345852,7222086,1363.9
5053,Inderøy,364339704,304976,7085916,143.3
5054,Indre Fosen,1096280932,266624,7069911,7.0
5055,Heim,1024646447,193434,7025523,49.3
5056,Hitra,741124095,191712,7060839,715.1
5057,Ørland,450641704,246129,7084207,445.6
5058,Åfjord,1323789123,275136,7108693,185.3
5059,Orkland,1906944932,231565,7026572,13.8
5060,Nærøysund,1297856942,342629,7201906,2723.6
5061,Rindal,632740902,211514,7001965,1.0
5501,Tromsø,2518363642,658437,7730797,215.9
5503,Harstad - Hárstták,443239184,558849,7632869,60.5
5510,Kvæfjord,512025397,541460,7617356,2.7
5512,Tjeldsund - Dielddanuorri,811371210,569967,7607842,141.2
5514,Ibestad,241942088,587170,7637115,27.3
5516,Gratangen,312641808,602153,7621620,32.6
5518,Loabák - Lavangen,301652722,613792,7626520,4.4
5520,Bardu,2703347554,658002,7621875,16.2
5522,Salangen,457426922,615696,7645249,19.3
5524,Målselv,3326993700,675885,7650798,63.9
5526,Sørreisa,361449715,626101,7667904,15.2
5528,Dyrøy,288282362,607625,7660572,9.6
5530,Senja,1950543719,603013,7691728,386.4
5532,Balsfjord,1496586075,668227,7687635,55.1
5534,Karlsøy,1092300675,668341,7776750,140.6
5536,Lyngen,813397328,697643,7738738,5.8
5538,Storfjord - Omasvuotna - Omasvuono,1543180313,712506,7688753,2.7
5540,Gáivuotna - Kåfjord - Kaivuono,992135615,725859,7716537,11.1
5542,Skjervøy,478941967,716078,7783688,60.3
5544,Nordreisa - Ráisa - Raisi,3441224970,756788,7725130,13.0
5546,Kvænangen,2113131830,772156,7759078,21.7
5601,Alta,3855564121,814306,7785352,17.0
5603,Hammerfest - Hámmerfeasta,2699000850,831276,7843974,9.8
5605,Sør-Varanger,3990039913,1063371,7792088,12.5
5607,Vadsø,1266149476,1049640,7858500,15.9
5610,Kárášjohka - Karasjok,5464449753,896349,7732870,50.1
5612,Guovdageaidnu - Kautokeino,9725796826,839130,7692768,34.2
5614,Loppa,687623801,762130,7804696,175.7
5616,Hasvik,556505362,777103,7845540,36.6
5618,Måsøy,1137443692,857145,7887958,113.6
5620,Nordkapp,927532284,892843,7904228,152.6
5622,Porsanger - Porsáŋgu - Porsanki,4885484471,882119,7814679,16.0
5624,Lebesby,3470243050,936058,7861400,33.4
5626,Gamvik,1421962561,970366,7904539,27.1
5628,Deatnu - Tana,4063365284,973607,7839083,96.2
5630,Berlevåg,1127703237,1014141,7901591,24.5
5632,Båtsfjord,1442678258,1051488,7889852,46.4
5634,Vardø,605263231,1081353,7878367,12.2
5636,Unjárga - Nesseby,1444873413,1018396,7840185,2.9
