number,water,coordsys,momentX,momentY,arithX,arithY,rmsX,rmsY,harmonicX,harmonicY,geomeanX,geomeanY,medianX,medianY,minboundX,minboundY
5520,true,32633,658002.3947206849,7621874.796691677,633339.651026893,7644159.34211902,633494.4969496584,7644168.416311402,633042.2318063182,7644141.177854282,633188.9460309339,7644150.262641275,625263.0199982044,7642524.730115895,667145.1899976132,7627379.755116029
4220,true,32633,77314.13362712883,6550457.723616644,74175.17568885128,6550527.387337464,75734.37052729425,6550544.155609438,70808.53448553171,6550493.820920179,72526.58009137445,6550510.609091284,72479.62500516613,6549827.740123192,69505.70500519715,6547994.450123206
3220,true,32633,281181.6144404533,6631849.642264793,278324.1580729809,6631541.210413725,278372.07405579,6631544.615490157,278229.28535645717,6631534.399775181,278276.5584400906,6631537.8051748285,276092.20000274805,6632127.930123039,280514.12000269897,6631839.965123044
4219,true,32633,79789.68881936457,6516092.559515025,79899.21519085746,6515722.817798459,80594.59354024855,6515729.576848794,78527.27311460233,6515709.301855651,79207.67944975174,6515716.059464537,78636.90500506514,6513629.440123297,82300.565005006,6517311.450123291
5028,true,32633,261922.38059473078,7012133.132363772,257160.15359166986,7019340.606118108,257275.1590644998,7019345.838768104,256931.41709356898,7019330.131236198,257045.57515371137,7019335.370273864,258508.47500317194,7018315.710121023,263136.85000310506,7015250.540121039
3448,true,32633,227630.28321910644,6767204.691967856,230453.36919763667,6767552.04411188,230637.52358231903,6767571.58794681,230080.61409314576,6767512.966279016,230267.66187269372,6767532.503526295,232509.52000335403,6763798.710122433,226926.3850034462,6767717.270122414
5041,true,32633,384835.52633646404,7121970.292594067,360144.77846183087,7127393.076014937,360239.96638648986,7127400.047675442,359960.3060221904,7127379.129643599,360051.5814888106,7127386.103335891,355573.9000019261,7126826.470120327,383828.39000155195,7120813.785120377
3116,true,32633,282115.422299767,6599776.963810568,279338.60227165633,6599994.222643586,279350.70071365015,6599995.858385498,279314.6990758695,6599990.950028904,279326.601965,6599992.586524304,277995.875002713,6601735.645123154,282038.475002664,6598844.610123169
3453,true,32633,183489.66006304376,6804308.856736522,174331.81758341103,6798557.804581447,174461.3806982396,6798564.1747240955,174084.82234406783,6798545.08114211,174206.3680470665,6798551.4400560325,173105.50000413109,6796157.050122244,183959.72500400108,6805645.450122196
3328,true,32633,139557.6664496041,6748864.770772535,137902.52828538395,6745526.899537941,138494.44444712155,6745534.810513812,136767.941685133,6745511.07054479,137326.46710671863,6745518.986214052,134887.34500455507,6747763.560122447,135868.04500456614,6748696.170122433
