number,name,area,centroidX,centroidY
3903,Holmestrand,-432418578,226676,6613019
3424,Rendalen,-3179950165,303983,6859562
1822,Leirfjord,-464429944,412879,7331715
3332,Sigdal,-843757432,192273,6679527
1566,Surnadal,-1368240515,188665,6991598
1127,Randaberg,-24679525,-38237,6578025
5503,Harstad - Hárstták,-443239184,558849,7632869
4225,Lyngdal,-644749209,43095,6483549
1848,Steigen,-988845274,512580,7521978
1815,Vega,-140389392,358559,7285400
1101,Eigersund,-435031551,-15456,6518602
5605,Sør-Varanger,-3990039913,1063371,7792088
3901,Horten,-70769052,240201,6593745
5042,Lierne,-2959558175,433772,7138695
4634,Masfjorden,-557636838,-15270,6785200
1813,Brønnøy,-1034372686,392128,7256222
1870,Sortland - Suortá,-720273004,519636,7623119
1851,Lødingen,-516416774,527562,7592711
1580,Haram,-260754221,62581,6969135
5056,Hitra,-741124095,191712,7060839
5053,Inderøy,-364339704,304976,7085916
3305,Ringerike,-1556649779,228624,6694321
1111,Sokndal,-296189623,-5782,6503189
1517,Hareid,-82932704,34408,6946244
3416,Eidskog,-640173836,336163,6654641
5516,Gratangen,-312641808,602153,7621620
1806,Narvik,-3428354438,595630,7574682
5006,Steinkjer,-2120439370,330610,7107136
5540,Gáivuotna - Kåfjord - Kaivuono,-992135615,725859,7716537
1865,Vågan,-468817223,482125,7575004
5026,Holtålen,-1209667662,308983,6974604
3426,Tolga,-1122821116,297294,6920091
3436,Nord-Fron,-1142818358,209367,6839977
1520,Ørsta,-664722919,50834,6929632
4628,Vaksdal,-720343245,4687,6761218
4222,Bykle,-1472969605,58407,6614685
4220,Bygland,-1316491639,77313,6550458
1554,Averøy,-171495061,123489,7009050
4626,Øygarden,-292202208,-49499,6732658
5532,Balsfjord,-1496586075,668227,7687635
1145,Bokn,-45831931,-45154,6602731
1106,Haugesund,-71493340,-49065,6630059
4010,Siljan,-214242927,199897,6586461
1563,Sunndal,-1716037698,177530,6954938
4202,Grimstad,-301898985,119509,6488878
