number,water,coordsys,momentX,momentY,arithX,arithY,rmsX,rmsY,harmonicX,harmonicY,geomeanX,geomeanY,medianX,medianY,minboundX,minboundY
1547,true,32632,382501.2917169758,6979228.177310305,397161.50026721327,6963587.310063518,397177.2573577044,6963588.289947359,397128.5852262389,6963585.356055895,397145.28202742105,6963586.3321017735,397823.2447834781,6963331.996467393,382944.52704323886,6981553.008760718
3911,true,32632,585889.5500247489,6543116.018527112,581196.5853802857,6565827.635753717,581211.0136689421,6565835.237896959,581168.15761091,6565812.347327354,581182.3005118915,6565820.005605912,580163.1218026697,6569497.313424144,586093.5510402687,6542802.507264414
3110,true,32632,607851.4060205335,6543600.482087593,610087.0753750327,6548876.657389571,610143.9769228116,6548884.490981835,609972.9011506886,6548860.952999687,610030.0493521055,6548868.811401503,610325.4969789437,6554384.554748027,608162.6859604914,6535765.474180486
3222,true,32632,610189.3012083019,6641073.443261719,611741.1456210697,6641005.9724045945,611744.9104008353,6641007.291761165,611733.5838459089,6641003.33402999,611737.3701018364,6641004.653160785,612893.1056918231,6640551.0736131715,610155.1052483928,6641577.432011981
3224,true,32632,616263.6414796248,6640127.825026188,614212.9247957518,6639222.786075621,614217.1430931911,6639223.974931389,614204.5418243046,6639220.4094236195,614208.7243871773,6639221.5975729935,613142.3634257142,6638473.870990178,617084.5802049243,6641056.585499303
1514,true,32632,309019.5380389389,6910762.709657743,323690.2682762919,6907065.9144464955,323793.4787154608,6907067.893189602,323469.6067603211,6907061.959661329,323582.4156889147,6907063.936604336,324329.56915326335,6907545.122528853,308486.72748034104,6912977.402653392
1124,true,32632,289487.9329998626,6533100.597988616,306539.36259323073,6530375.2709372165,306564.7189126924,6530376.837945721,306485.044329645,6530372.137970696,306512.83793493663,6530373.704278775,307323.44792851584,6529088.607704727,290222.7761935863,6532973.019756366
1835,true,32632,628600.8819550254,7384433.180435986,629375.1600309239,7388279.284840089,629583.5753690146,7388298.076030257,628960.4983019826,7388241.651610964,629167.4332802568,7388260.476684475,627280.0279301144,7396821.6257595485,627823.4386671758,7385669.383482172
1151,true,32632,255352.76404668333,6578067.480179645,248882.48665974085,6574822.121861682,249131.61496005394,6574828.719039087,248413.49117279405,6574808.9315409055,248643.1277233559,6574815.526027954,243720.52247186255,6575478.35378798,257549.1468814491,6576928.959760304
3218,true,32632,600455.8210193551,6616973.364510225,602189.5259681424,6613188.975995724,602200.3339358416,6613190.670582795,602167.8183511096,6613185.588996463,602178.6873919409,6613187.282133251,603155.3952793982,6611524.675691079,600528.9132036294,6617089.440487041
