number,water,coordsys,momentX,momentY,arithX,arithY,rmsX,rmsY,harmonicX,harmonicY,geomeanX,geomeanY,medianX,medianY,minboundX,minboundY
5520,true,32632,900255.7062524633,7649157.128122385,873484.554806981,7668962.112369666,873597.4632251777,7668971.153816815,873266.2938773956,7668944.021712903,873374.1916068593,7668953.068340161,865809.6387139905,7666524.517290135,909703.1209690764,7655992.837749972
4220,true,32632,422643.7874458954,6527997.961723564,419514.74660083244,6527786.22660427,419811.17930048256,6527801.7515722755,418920.8824057198,6527755.154995055,419217.9109577894,6527770.694397522,416447.52740675025,6526880.421114368,414829.899456407,6526396.9994268995
3220,true,32632,618106.3784650726,6627289.201924328,615289.3544209547,6626724.000706777,615312.4528682722,6626727.271547586,615243.397555204,6626717.459185249,615266.3356712689,6626720.729918525,613582.293182034,6626862.215151147,617186.4363366354,6627714.237333485
4219,true,32632,428173.1393541483,6494065.297179743,428313.71544306487,6493707.344223029,428439.27949520125,6493714.371769994,428064.01492359955,6493693.2892211955,428188.61305539455,6493700.316703608,427363.3207348498,6491556.0723811425,430902.14671073575,6494784.0626682015
5028,true,32632,564016.4990996307,7003993.005713229,558604.2188838572,7010719.779421734,558652.3515332545,7010725.389882174,558508.5535747206,7010708.549044443,558556.2872871895,7010714.165808462,559602.9799178843,7009549.0026875455,565381.0922745268,7006375.564066002
3448,true,32632,552512.6033812593,6757130.031799739,555288.7252748806,6757733.447469021,555375.955439816,6757752.0895737605,555113.5603773552,6757696.171168591,555201.2532599173,6757714.807974524,557747.1496056637,6753408.245125473,551049.255725697,6757058.980385786
5041,true,32632,676069.9777407785,7124844.786169153,650971.1752752127,7127918.112894267,651016.7444416446,7127925.733894805,650881.7497027414,7127902.870828077,650926.1821282723,7127910.491869328,647448.3239319024,7126655.923911396,674372.8061199917,7124117.461444976
3116,true,32632,621929.0528912072,6595444.700022771,619144.9967495209,6595410.842728755,619151.0104139441,6595412.425708046,619133.025495162,6595407.675812244,619139.0017870681,6595409.259430173,617546.0622102299,6597034.7221993385,621666.4558732335,6594464.055162278
3453,true,32632,505209.2880663173,6789999.342878157,496627.10866386385,6783441.597444067,496679.4765162661,6783447.453671023,496524.0304079999,6783429.90196181,496575.2966704769,6783435.746876305,495633.5279516725,6780921.299183905,505068.9263269848,6790744.3798664715
3328,true,32632,466592.3472162883,6730848.380742156,465248.5370480574,6727380.855016381,465435.25389483996,6727387.968407811,464880.1850300006,6727366.622297433,465063.4975589771,6727373.739646144,462523.72542104067,6729063.941137339,462469.7192059226,6729408.079663884
