Kommunenummer,FeatureID
3452,a3c6c83a-5ef4-4e11-a0c3-e454c9f82766
4601,602ba259-f046-428c-ab57-ce0428bd5bb4
4213,8bbe531e-9251-425a-aff7-06395d4e3e52
4627,2bdfc1fd-8d82-4680-8230-6deed0161941
3324,8d31abbc-48e2-462f-aceb-45c757ee552a
3222,62099986-00d2-40d1-91d2-27c4403a1889
4650,5ffa97f4-1123-4da4-83ec-ba1095b48a4a
1120,774b068a-acd2-4a85-9543-333ffaa70855
1812,1186aae1-e02e-4b65-81a3-cbde27cc46d1
4645,8a4368df-49d2-4860-ba79-95dec7a8f69d
4228,a850598b-bdbf-4d9c-b19a-a0bded54b92a
3301,624b7261-5dde-4188-be99-c419d90d514f
1506,48e19a67-f1f2-44f2-9f3d-9227a699776f
5528,cff75a78-ffd4-4148-b59e-a1e4e87f6819
5542,728b21bc-5980-4fbd-bf23-86d22b0f8b68
5031,fe328f8d-fbde-4c21-ab28-cbc583be401f
4602,54e5adae-5e1f-42df-bcfe-d23a55d2bcef
5041,92291601-dbeb-432a-b640-eb31d0ac6ff0
3212,9667a7b5-c49d-40fa-9826-25323e7aa30d
4632,75299d27-bbbd-4e35-89ce-a22f906be1a9
3435,6d39c208-6c56-4a41-9295-c1078927ac6b
5047,340fff7f-b153-4a87-814d-12ca4f2d1682
3451,f5284a4c-bf96-4050-bb44-ed9c2cbe94be
5061,5b5f81f4-5cc8-48a0-ae54-276032124929
4034,7edb0a10-2bd0-4351-a78d-ba2d1c23728e
1121,0e48ed51-ce27-45c0-b7bc-76ff37405c6a
3440,031025af-21ad-4f36-976d-7ab8f31c8910
3334,4fa5acd2-865e-432f-9b22-a1c77c40fb10
3214,37f9dcca-d06d-41a0-b8e3-13fdfd94c854
4020,6ca26978-f7bf-4582-91a3-d09bb73f71e3
5624,148308fc-f444-442d-8617-b4f3b7d51892
1133,351ba144-37bc-4d7b-a5bf-a3b2ddcb87a2
1514,617485c7-dd5e-42b7-9888-e94513444835
1557,92e7f845-3aa8-4438-aded-734347959e15
5634,8151c0e9-5926-44dc-93d4-8a47144c0d1f
3447,7ab6dfbf-b403-402b-9a3c-8e9cdf3410e0
3419,999ff9a4-33de-4ba7-9d39-d27f89752f55
4219,8b023c74-4db4-48f9-8a5c-a3124c75da14
1577,7ae4b5f6-2220-47aa-b746-27e822396a5a
3422,6815741a-a3c3-4011-81a8-97d861af91ee
1573,35b9a8e2-32dc-4301-a739-d290d69ea19c
5630,f410cc5f-ea29-466d-9c55-63238967adcc
5538,c78c38f7-7090-45ba-8ec5-7f642bc86fc1
1839,98ba7f4f-4600-4702-b96a-54fb34d8ab6e
4216,00c8db8e-e381-4515-81ce-d6dca496c443
3234,2236475d-71c8-48c5-90d1-7055c065305a
5524,8b91f9f4-22f8-49e8-8b11-32c005e534aa
3407,69955d74-46c1-4e31-a1d8-ccc5bb578701
3442,f7c6e517-553a-46a4-8048-781d685aeab3
3429,9def2406-0c19-4e3e-aef1-089b0e69f926
5033,a958447a-bec5-414e-adfd-5b2a5311e3dc
5027,4e8f0138-2f58-473c-91fe-813ea0bfcc6a
4227,e204d602-bd11-4323-8651-5f7e103a7cd9
3224,16d03e0c-78cc-4dbc-aedb-03962284d27e
1130,917cb247-d8f1-46ef-8fc5-decc2cdde6fe
1824,7f607a8b-adf6-4512-9f75-2c2a95a9ee8f
4005,164e6569-2171-4f1a-aead-0fdba4c089d7
3428,314cf49e-afb3-466e-a12f-1df87b34ee3f
3205,1f772d03-781f-41ba-9532-348fec03cd17
1832,e15ec547-2b87-4765-8301-13230485dfa6
3412,f630dc4c-6297-4a96-a93f-40e30422c131
5025,59052a09-adad-48e8-9bae-0a20ffca79d1
5029,20f6d491-f96b-413f-bb5e-cd0a2b92b69f
4218,5c57c0a1-e908-4088-aa8f-cb7f9ab0200a
1834,5bdc379c-ef04-496f-a65f-9a6ca5cb66e4
3443,28acd8cd-ec05-4746-92cc-4aeee880239b
3432,cbc345bd-70cc-4131-85b5-534428553212
4207,85253364-c56c-4140-bd1e-fd77ad3474d5
3413,5feb1d14-3304-4366-a03b-3113d40ff962
4016,d83142aa-d004-4a60-86fb-6291b233c2ec
4638,8a7ad424-0adc-4925-9e04-cf17bd2b4357
4617,d4fdef3f-f8d2-414c-ae44-be9fa4bf1e9a
4018,123e97ca-43df-4b98-9244-1bf9c98c8076
1112,b4566a47-7868-430f-9a36-412c6e9dc702
1508,efe40656-9764-4926-ac55-d04d4665f3ef966d44cb7ace1f0cb0e2828d2a8e2ee032207fa9938ac46dc5979f3527fe0db1
1818,4dec3cc9-e515-4fa9-ba7f-9387e1c8800c
1857,607b4a39-83e8-407c-8e38-fffb0f3c288b
5035,29cbae47-572b-4871-874e-931323ad34d1
5007,911b4d14-99b3-46e1-94a8-62bf2e07c4ab
1845,7fc5dd85-a0e9-48cd-9188-e716c23c5263
5055,62e7e196-7c17-4a39-b979-412249ead977
4036,a2b4ac1b-74a5-4477-bc99-16fc386e8a5c
5020,502e2b5d-2bf1-4dd6-a48f-0692e729f364
4615,9b992a9e-edf4-413f-afb1-85ca757fc457
3303,9ac00bfb-2139-44b7-9089-ff48b1acf1ac
3230,ffd39f1e-f20e-4559-80c9-42b911aac29b
5614,42b6831f-ee82-4c75-9d14-1d49ff1e1de1
4003,886dd687-f7a3-448d-99b5-783b741646cb
3418,3eb0d321-8929-4ee2-a7f4-d92e06cd15d7
4624,543ac82b-d449-4fbe-bd93-8eaf7e16ef8c
3103,303d1b06-2b89-4688-ae96-85a61b00985f
4616,f946e9a0-2bda-46e6-89d3-c696d4be79d5
3238,39eabef1-5fa1-408b-b011-2e233713c784
4644,582a15e4-d853-4501-8d37-057432110a8d
3437,6b6b547f-cb7a-4ee4-877c-527a15436b5d
5526,ad422879-e9f4-4f48-8110-dd294c127405
1135,fe5f31c2-8d83-4290-89ae-7a28632dd057
1122,5c28ff58-9e10-493a-a12c-df15d41cebd4
4647,46f06c02-ffdb-482f-b1c1-3b0ca7282eca
4611,fcdbda7d-52e8-4075-b100-5f35c56a9439
3240,0ba35d78-bc81-4eb9-829d-2f6f77723754
3328,e4f877ca-9330-4830-85d8-d116a738be2a
1119,b6c5a7ed-eb81-4e9d-81b3-a09b2393bed3
1505,753d80fa-0806-4a1d-820d-a15e197c261d
5612,c7da53d0-cd0f-416c-92fb-fb15d796a9b5
1579,d73265d8-64ac-4a5c-804f-f2e727d748d6
1511,c1c3768f-f923-4e6a-b0d1-8b4459baee61
5036,1a028be5-a934-4aed-a178-2b87a8f7c945
5049,f312a830-5884-4741-8b23-7e1352a1a113
4026,71d8fb41-ca12-4678-901b-6614cc354a43
1160,fc39e78f-5259-4503-be78-1ced36f9d057
1836,ba889808-a24b-41b5-ab28-410804599e22
5628,8391ebe6-293c-4709-a0c5-a15824b58fdd
3326,05ca13f5-6ac0-45c2-a90b-d6e6cd0c97ab
0301,2f8abeb3-f180-4800-84a3-df6653fc9468
4620,e1064c65-a858-4dcb-9e43-fd2393261909
3411,d844ccd3-0f28-4dd8-9c7a-7c6d71a46123
